,구,GDP,가격 점수
1,종로구,33780610,2.0452261306532664
2,중구,53823217,2.363157894736842
3,용산구,12695516,2.424083769633508
4,성동구,12167850,1.786096256684492
5,광진구,6587069,1.6464646464646464
6,동대문구,7555543,1.484375
7,중랑구,4741739,1.6333333333333333
8,성북구,6141921,1.418848167539267
9,강북구,3283572,1.6
10,도봉구,3404872,1.5
11,노원구,6620672,1.671957671957672
12,은평구,4919715,1.6318681318681318
13,서대문구,8652191,1.601063829787234
14,마포구,19943128,1.9791666666666667
15,양천구,7125314,1.7754010695187166
16,강서구,17458926,1.8711340206185567
17,구로구,14090156,1.8306878306878307
18,금천구,17614623,1.6571428571428573
19,영등포구,36095497,2.0
20,동작구,6527100,1.7083333333333333
21,관악구,5963769,1.6596858638743457
22,서초구,35570338,2.398989898989899
23,강남구,71852681,3.065
24,송파구,29962528,2.075757575757576
25,강동구,9348668,1.710382513661202
