,식당명,별점,구,주소,음식종류,가격대,리뷰날짜,리뷰평가,리뷰수,맛있다수,괜찮다수,별로다수,평점
1,뽀르께노 스페니쉬비스트로,4.6,성북구, 서울특별시 성북구 동소문로6길 4-21 1F,다국적음식, 만원-2만원,2022-07-22,맛있다,7.0,7.0,0.0,0.0,4.6
3,성북동집,4.5,성북구, 서울특별시 성북구 성북로24길 4,한식, 만원-2만원,2022-07-28,맛있다,41.0,35.0,6.0,0.0,3.841463414634146
4,계모임,4.5,성북구, 서울특별시 성북구 보문로30라길 5-10 1F,한식, 만원-2만원,5 일 전,맛있다,10.0,10.0,0.0,0.0,4.5
5,옥돌,4.5,성북구, 서울특별시 성북구 동소문로17길 11,양식, 만원-2만원,2022-07-18,맛있다,5.0,5.0,0.0,0.0,4.5
6,우정초밥,4.4,성북구, 서울특별시 성북구 종암로3길 31 1F,일식, 2만원-3만원,2022-06-18,맛있다,31.0,28.0,3.0,0.0,3.974193548387097
8,일흥콩나물국밥,4.4,성북구, 서울특별시 성북구 고려대로5길 77,한식, 만원 미만,2022-05-16,맛있다,11.0,11.0,0.0,0.0,4.4
9,드시소,4.4,성북구, 서울특별시 성북구 보국문로 86-3 1F,주점, 2만원-3만원,2022-05-15,맛있다,8.0,8.0,0.0,0.0,4.4
10,마실참숯불생고기집,4.4,성북구, 서울특별시 성북구 종암로38길 41-2,한식, 만원-2만원,2022-07-21,맛있다,7.0,7.0,0.0,0.0,4.4
14,바람난오리궁뎅이,4.3,성북구, 서울특별시 성북구 보국문로29길 15,한식, 2만원-3만원,2021-07-30,맛있다,19.0,18.0,1.0,0.0,4.073684210526316
15,영순관,4.3,성북구, 서울특별시 성북구 지봉로24길 19,중식, 만원 미만,2022-01-30,맛있다,9.0,8.0,1.0,0.0,3.822222222222222
17,밀곳간,4.3,성북구, 서울특별시 성북구 성북로18길 19,카페/디저트, 만원 미만,2022-08-02,맛있다,14.0,14.0,0.0,0.0,4.3
19,참나무닭나라,4.3,성북구, 서울특별시 성북구 동소문로8길 12,한식, 만원 미만,2022-03-23,맛있다,18.0,17.0,0.0,1.0,3.583333333333333
20,토로생선구이,4.3,성북구, 서울특별시 성북구 고려대로28길 14-1,한식, 만원-2만원,2022-03-31,맛있다,10.0,9.0,1.0,0.0,3.8699999999999997
24,동병상련,4.2,성북구, 서울특별시 성북구 정릉로10길 42-6,카페/디저트, 만원 미만,2022-04-24,맛있다,7.0,7.0,0.0,0.0,4.2
27,임금님자장면,4.2,성북구, 서울특별시 성북구 보국문로 91,중식, 만원 미만,2022-06-29,맛있다,12.0,10.0,2.0,0.0,3.5
31,일상,4.1,성북구, 서울특별시 성북구 성북로 106,카페/디저트, 만원 미만,2022-05-22,맛있다,28.0,26.0,1.0,1.0,3.5142857142857142
