,식당명,별점,구,주소,음식종류,가격대,리뷰날짜,리뷰평가,리뷰수,맛있다수,괜찮다수,별로다수
0,오향가,4.7,송파구,서울특별시 송파구 송이로 106,정통 중식 / 일반 중식,가격대 만원-2만원,2022-08-10,맛있다,116,100.0,11.0,5.0
1,돌마리유황오리,4.7,송파구,서울특별시 송파구 가락로 66,닭 / 오리 요리,0,2022-08-11,맛있다,20,19.0,1.0,0.0
2,레브어,4.7,송파구,서울특별시 송파구 백제고분로45길 6 1F,프랑스 음식,가격대 2만원-3만원,2022-03-23,맛있다,14,14.0,0.0,0.0
3,세이류,4.6,송파구,서울특별시 송파구 올림픽로35가길 9 B1 B35호,정통 일식 / 일반 일식,가격대 4만원 이상,3 일 전,괜찮다,27,26.0,1.0,0.0
4,차만다,4.6,송파구,서울특별시 송파구 오금로18길 6 106호,세계음식 기타,가격대 만원-2만원,2022-07-15,맛있다,104,83.0,17.0,4.0
5,오레노라멘,4.6,송파구,서울특별시 송파구 백제고분로45길 17-3,라멘 / 소바 / 우동,가격대 만원 미만,2022-05-04,괜찮다,109,92.0,12.0,5.0
6,더마칸,4.6,송파구,서울특별시 송파구 올림픽로32길 37-4 1F,다국적 아시아 음식,가격대 만원-2만원,2022-07-26,별로,28,23.0,0.0,5.0
7,하얼빈양꼬치,4.6,송파구,서울특별시 송파구 백제고분로17길 45 1F,기타 중식,가격대 만원-2만원,2022-08-09,맛있다,43,37.0,5.0,1.0
8,엘리스리틀이태리,4.5,송파구,서울특별시 송파구 백제고분로41길 43-21 SANDONG빌딩,기타 양식,가격대 2만원-3만원,2022-05-30,별로,243,203.0,28.0,12.0
9,콰이어트 크림티,4.5,송파구,서울특별시 송파구 삼전로12길 7,카페 / 디저트,가격대 만원 미만,2022-07-27,괜찮다,56,48.0,6.0,2.0
10,라미아파밀리아,4.5,송파구,서울특별시 송파구 백제고분로18길 5,이탈리안,가격대 3만원-4만원,2022-05-23,맛있다,20,18.0,2.0,0.0
11,알라딘의양고기,4.5,송파구,서울특별시 송파구 백제고분로7길 42-16,기타 중식,가격대 2만원-3만원,21 시간 전,맛있다,15,13.0,1.0,1.0
12,그곁,4.5,송파구,서울특별시 송파구 오금로18길 14 1F,일반 주점,가격대 2만원-3만원,2022-06-06,맛있다,11,11.0,0.0,0.0
13,이치고,4.5,송파구,서울특별시 송파구 백제고분로11길 6-7 1F,이자카야 / 오뎅 / 꼬치,가격대 2만원-3만원,2022-06-12,맛있다,7,7.0,0.0,0.0
14,뉴질랜드스토리,4.4,송파구,서울특별시 송파구 석촌호수로 268,브런치 / 버거 / 샌드위치,가격대 만원-2만원,2022-08-06,괜찮다,276,222.0,42.0,12.0
15,한아람정육식당,4.4,송파구,서울특별시 송파구 위례성대로 34 지산빌딩 2F,고기 요리,가격대 3만원-4만원,2022-05-07,맛있다,47,41.0,5.0,1.0
16,디저티스트,4.4,송파구,서울특별시 송파구 송파대로48길 37 호수임광아파트 상가동 2F,카페 / 디저트,가격대 만원 미만,3 일 전,맛있다,86,70.0,15.0,1.0
17,몽중헌,4.4,송파구,서울특별시 송파구 위례성대로 10 S타워 20-21F,정통 중식 / 일반 중식,가격대 3만원-4만원,2022-07-31,맛있다,79,60.0,15.0,4.0
18,미엔아이,4.4,송파구,서울특별시 송파구 오금로16길 5 1F,기타 중식,가격대 만원 미만,2022-08-08,괜찮다,119,91.0,22.0,6.0
19,뷰클런즈,4.4,송파구,서울특별시 송파구 백제고분로43길 10,카페 / 디저트,가격대 만원 미만,2022-08-03,맛있다,48,39.0,9.0,0.0
20,모터시티,4.4,송파구,서울특별시 송파구 백제고분로45길 17-3 2F,기타 양식,가격대 만원-2만원,2022-06-25,괜찮다,93,61.0,23.0,9.0
21,부일갈매기,4.4,송파구,서울특별시 송파구 삼전로13길 4,고기 요리,가격대 만원-2만원,2022-06-07,맛있다,28,26.0,2.0,0.0
22,비채나,4.4,송파구,서울특별시 송파구 올림픽로 300 롯데월드타워 81F,한정식 / 백반 / 정통 한식,가격대 4만원 이상,2022-07-11,맛있다,15,12.0,3.0,0.0
23,스시다원,4.4,송파구,서울특별시 송파구 삼전로12길 6 1F,회 / 스시,가격대 4만원 이상,2022-05-12,맛있다,15,14.0,0.0,1.0
24,밀각,4.4,송파구,서울특별시 송파구 송파대로28길 27 성원쌍떼빌101동 116호,고기 요리,가격대 2만원-3만원,2022-07-16,맛있다,22,21.0,1.0,0.0
25,선호커피로스터스,4.4,송파구,서울특별시 송파구 송이로2길 4 1F,카페 / 디저트,가격대 만원 미만,2022-06-26,맛있다,7,7.0,0.0,0.0
26,라뿔,4.4,송파구,서울특별시 송파구 백제고분로43길 7,카페 / 디저트,가격대 만원 미만,2022-07-23,맛있다,18,17.0,1.0,0.0
27,네기우나기야,4.4,송파구,서울특별시 송파구 잠실로 209 소피텔앰배서더 2F,해산물 요리,가격대 2만원-3만원,2022-06-10,맛있다,10,9.0,1.0,0.0
28,생생아구,4.4,송파구,서울특별시 송파구 백제고분로7길 8-37,해산물 요리,가격대 3만원-4만원,2022-05-22,맛있다,8,7.0,1.0,0.0
29,마초야,4.4,송파구,서울특별시 송파구 백제고분로40길 24 1F,까스 요리,가격대 만원 미만,2022-07-27,맛있다,12,11.0,1.0,0.0
30,미강식당,4.4,송파구,서울특별시 송파구 백제고분로 122,고기 요리,가격대 만원-2만원,2022-07-18,맛있다,9,9.0,0.0,0.0
31,토마루해물칼국수,4.4,송파구,서울특별시 송파구 백제고분로15길 6,국수 / 면 요리,가격대 만원 미만,2022-07-31,맛있다,6,6.0,0.0,0.0
32,탄포포,4.4,송파구,서울특별시 송파구 백제고분로7길 52-19 1F,회 / 스시,가격대 3만원-4만원,2022-06-19,맛있다,5,5.0,0.0,0.0
33,멘야하나비,4.3,송파구,서울특별시 송파구 백제고분로45길 38,라멘 / 소바 / 우동,가격대 만원-2만원,3 일 전,괜찮다,275,183.0,71.0,21.0
34,봉피양,4.3,송파구,서울특별시 송파구 양재대로71길 1-4,고기 요리,가격대 만원-2만원,2022-07-02,괜찮다,158,135.0,17.0,6.0
35,오린지,4.3,송파구,서울특별시 송파구 송파대로48길 19,카페 / 디저트,가격대 만원 미만,2022-07-23,맛있다,97,69.0,23.0,5.0
36,옥인피자,4.3,송파구,서울특별시 송파구 올림픽로 300 롯데월드몰 5F,이탈리안,가격대 만원-2만원,2022-07-09,맛있다,161,118.0,40.0,3.0
