,Unnamed: 0,식당명,별점,구,주소,전화번호,음식종류,가격대,주차,영업시간,메뉴,리뷰날짜,리뷰평가,리뷰수,맛있다수,괜찮다수,별로다수
0,0,오향가,4.7,송파구,서울특별시 송파구 송이로 106,02-401-6999,음식 종류 정통 중식 / 일반 중식,가격대 만원-2만원,주차 무료주차 가능,['11:30 - 22:00'],"['오향족발 (대)', '40,000원', '냉채족발 (대)', '40,000원', '오향장육 (대)', '33,000원', '오향가탕수육 (대)', '27,000원']",2022-08-10,맛있다,116,100.0,11.0,5.0
1,1,돌마리유황오리,4.7,송파구,서울특별시 송파구 가락로 66,02-423-6231,음식 종류 닭 / 오리 요리,주차 무료주차 가능,영업시간 11:30 - 22:00,['15:00 - 17:00'],"['생오리구이 한접시 (500g)', '35,000원', '양념오리구이 한접시 (500g)', '35,000원', '누룽지백숙', '65,000원', '14가지한약재백숙', '65,000원', '옻오리', '70,000원']",2022-08-11,맛있다,20,19.0,1.0,0.0
2,2,레브어,4.7,송파구,서울특별시 송파구 백제고분로45길 6 1F,070-7547-9784,음식 종류 프랑스 음식,가격대 2만원-3만원,주차 주차공간없음,['17:00 - 24:00'],"['아스파라거스', '15,000원', '머쉬룸 파스타', '19,000원', '마카다미아 파스타', '22,000원', '스퀴드', '22,000원', '비프', '38,000원']",2022-03-23,맛있다,14,14.0,0.0,0.0
3,3,세이류,4.6,송파구,서울특별시 송파구 올림픽로35가길 9 B1 B35호,02-418-2288,음식 종류 정통 일식 / 일반 일식,가격대 4만원 이상,주차 무료주차 가능,['12:00 - 21:30'],"['런치스시오마카세', '60,000원', '디너스시오마카세', '110,000원', '다이나 쵸카라구치 쥰마이', '65,000원', '카와나카지마 토쿠베츠쥰마이', '55,000원', '일품진로', '30,000원']",3 일 전,괜찮다,27,26.0,1.0,0.0
4,4,차만다,4.6,송파구,서울특별시 송파구 오금로18길 6 106호,02-6465-0812,음식 종류 세계음식 기타,가격대 만원-2만원,주차 주차공간없음,['11:30 - 21:30'],"['셰퍼드 파이', '19,500원', '피쉬앤칩스', '26,000원', '코니시 파스티', '17,000원', '영국식 치킨커리', '18,500원', '느와르 포크벨리 크림 파스타', '19,000원']",2022-07-15,맛있다,104,83.0,17.0,4.0
5,5,오레노라멘,4.6,송파구,서울특별시 송파구 백제고분로45길 17-3,02-418-3539,음식 종류 라멘 / 소바 / 우동,가격대 만원 미만,주차 주차공간없음,['11:30 - 21:00'],"['토리빠이탄라멘', '10,000원', '카라빠이탄라멘', '10,000원', '토리쇼유라멘', '10,000원', '시오라멘', '10,000원']",2022-05-04,괜찮다,109,92.0,12.0,5.0
6,6,더마칸,4.6,송파구,서울특별시 송파구 올림픽로32길 37-4 1F,02-422-0900,음식 종류 다국적 아시아 음식,가격대 만원-2만원,주차 주차공간없음,"['월: 17:30 - 22:00', '화-토: 11:30 - 22:00']","['나시르막', '11,000원', '차퀘테오', '12,000원', '나시고랭 깜풍', '12,000원', '패닝프라운 미', '12,500원', '깜꿍 블라찬', '8,500원']",2022-07-26,별로,28,23.0,0.0,5.0
7,7,하얼빈양꼬치,4.6,송파구,서울특별시 송파구 백제고분로17길 45 1F,02-421-9288,음식 종류 기타 중식,가격대 만원-2만원,주차 무료주차 가능,['14:00 - 24:00'],"['고급양갈비 (200g)', '20,000원', '양꼬치 (10개)', '12,000원', '갈비살꼬치 (10개)', '13,000원', '왕새우꼬치 (8마리)', '10,000원', '사천마라탕', '19,000원']",2022-08-09,맛있다,43,37.0,5.0,1.0
8,8,엘리스리틀이태리,4.5,송파구,서울특별시 송파구 백제고분로41길 43-21 SANDONG빌딩,010-6545-1410,음식 종류 기타 양식,가격대 2만원-3만원,주차 주차공간없음,['11:30 - 22:00'],"['카프레제', '17,000원', '봉골레', '18,000원', '푸타네스카', '20,000원', '새우버섯과루꼴라피자', '20,000원', '안심스테이크', '38,000원']",2022-05-30,별로,243,203.0,28.0,12.0
9,9,콰이어트 크림티,4.5,송파구,서울특별시 송파구 삼전로12길 7,02-6402-0228,음식 종류 카페 / 디저트,가격대 만원 미만,주차 무료주차 가능,['11:00 - 21:00'],"['아쌈 G.F.O.P', '7,000원', '애프터눈 블렌드', '7,000원', '루이보스 초콜릿 트러플', '7,000원', '오리지널 밀크티', '7,500원', '바닐라 루이보스 밀크티', '8,000원']",2022-07-27,괜찮다,56,48.0,6.0,2.0
