,역명,도로명주소,경도,위도
0,도봉산,서울특별시 도봉구 도봉로 964-33,127.0461302,37.6891763
1,도봉,서울특별시 도봉구 도봉로 170길 2,127.045755,37.6803234
2,방학,서울특별시 도봉구 도봉로 150다길 3,127.0444088,37.6663079
3,창동,서울특별시 도봉구 마들로11길 77,127.0481139,37.6531856
4,녹천,서울특별시 도붕구 덕릉로 376,127.0454182,37.6431857
5,월계,서울특별시 노원구 월계로53길 40,127.0587751,37.6319572
6,광운대,서울특별시 노원구 석계로 98-2,127.0616631,37.6232015
7,석계,서울특별시 노원구 화랑로 341,127.0656321,37.6152696
8,신이문,서울특별시 동대문구 한천로 472,127.0686596,37.6054759
9,외대앞,서울특별시 동대문구 휘경로 27,127.0630252,37.5953604
10,회기,서울특별시 동대문구 회기로 196,127.0580246,37.5896999
11,남영,서울특별시 용산구 한강대로77길 25,126.9712663,37.5415379
12,용산,서울특별시 용산구 한강대로23길 55,126.9640447,37.5288539
13,노량진,서울특별시 동작구 노량진로 151,126.9430428,37.5141079
14,대방,서울특별시 영등포구 여의대방로 300,126.9262955,37.5132802
15,신길,서울특별시 영등포구 영등포로 327,126.9171901,37.5170175
16,영등포,서울특별시 영등포구 경인로 846,126.9066823,37.5154709
17,신도림,서울특별시 구로구 새말로 지하117-21,126.8910103,37.5088093
18,구로,서울특별시 구로구 구로중앙로 174,126.8814842,37.5023699
19,구일,서울특별시 구로구 구일로 133,126.8719566,37.4971984
20,개봉,서울특별시 구로구 경인로40길 47,126.8587506,37.4945586
21,오류동,서울특별시 구로구 경인로 20길 13,126.8470424,37.4954036
22,온수,서울특별시 구로구 부일로 872,126.8239696,37.4922901
23,가산디지털단지,서울특별시 금천구 벚꽃로 309,126.8821832,37.4822545
24,독산,서울특별시 금천구 벚꽃로 115,126.8897931,37.4656408
25,금천구청,서울특별시 금천구 시흥대로 63길 91,126.8943636,37.4557965
26,청량리,서울특별시 동대문구 왕산로 지하 205 ,127.0407023,37.5910381
27,제기동,서울특별시 동대문구 왕산로 지하 93 ,127.0505228,37.591587
28,신설동,서울특별시 동대문구 왕산로 지하 1 ,127.0370804,37.5797538
29,동묘앞,서울특별시 종로구 종로 359 ,127.0166486,37.5732808
30,동대문,서울특별시 종로구 종로 지하 302 ,126.988757,37.5665856
31,종로5가,서울특별시 종로구 종로 지하 216  ,127.0018455,37.5703537
32,종로3가,서울특별시 종로구 종로 지하 129 ,126.9910053,37.5703709
33,종각,서울특별시 종로구 종로 지하 55 ,126.983099,37.570169
34,시청,서울특별시 세종대로 지하 101 ,126.9768616,37.5657037
35,서울역,서울특별시 세종대로 지하 2 ,126.9779478,37.5679234
36,을지로입구,서울특별시 중구 을지로 지하 42 ,126.982679,37.566065
37,을지로3가,서울특별시 중구 을지로 지하 106 ,127.0084173,37.5652675
38,을지로4가,서울특별시 중구 을지로 지하 178 ,126.997733,37.566621
39,동대문역사문화공원,서울특별시 중구 을지로 지하 279 ,127.0084849,37.5657177
40,신당,서울특별시 중구 퇴계로 지하 431-1 ,126.9945971,37.5609724
41,상왕십리,서울특별시 성동구 왕십리로 지하 374 ,127.0320781,37.5602801
42,왕십리,서울특별시 성동구 왕십리로 지하 300 ,127.0363048,37.5611822
43,한양대,서울특별시 성동구 왕십리로 206 ,127.0436579,37.5552593
44,뚝섬,서울특별시 성동구 아차산로 18 ,127.0473802,37.5471773
45,성수,서울특별시 성동구 아차산로 100 ,127.0568847,37.5446009
46,건대입구,서울특별시 광진구 아차산로 243 ,127.0690014,37.5407487
47,구의,서울특별시 광진구 아차산로 384-1 ,127.0907553,37.5382826
48,강변,서울특별시 광진구 강변역로 53 ,127.094533,37.5354211
49,잠실나루,서울특별시 송파구 오금로 20 ,127.1129447,37.5091141
