,식당명,별점,구,주소,음식종류,가격대,리뷰날짜,리뷰평가,리뷰수,맛있다수,괜찮다수,별로다수
0,카레,4.6,성북구,주소 서울특별시 성북구 성북로 62-1,가격대 만원 미만,주차 주차공간없음,2022-08-03,맛있다,78,68.0,7.0,3.0
1,도이칠란드 박,4.6,성북구,주소 서울특별시 성북구 솔샘로6길 30-15 1F,음식 종류 세계음식 기타,가격대 만원-2만원,2022-07-04,맛있다,21,19.0,0.0,2.0
2,뽀르께노 스페니쉬비스트로,4.6,성북구,주소 서울특별시 성북구 동소문로6길 4-21 1F,음식 종류 세계음식 기타,가격대 만원-2만원,2022-07-22,맛있다,7,7.0,0.0,0.0
3,공푸,4.5,성북구,주소 서울특별시 성북구 삼선교로24길 29,음식 종류 정통 중식 / 일반 중식,가격대 만원 미만,2022-07-07,별로,91,76.0,11.0,4.0
4,성북동집,4.5,성북구,주소 서울특별시 성북구 성북로24길 4,음식 종류 국수 / 면 요리,가격대 만원-2만원,2022-07-28,맛있다,41,35.0,6.0,0.0
5,계모임,4.5,성북구,주소 서울특별시 성북구 보문로30라길 5-10 1F,음식 종류 닭 / 오리 요리,가격대 만원-2만원,5 일 전,맛있다,10,10.0,0.0,0.0
6,옥돌,4.5,성북구,주소 서울특별시 성북구 동소문로17길 11,음식 종류 이탈리안,가격대 만원-2만원,2022-07-18,맛있다,5,5.0,0.0,0.0
7,우정초밥,4.4,성북구,주소 서울특별시 성북구 종암로3길 31 1F,음식 종류 회 / 스시,가격대 2만원-3만원,2022-06-18,맛있다,31,28.0,3.0,0.0
8,모짜,4.4,성북구,주소 서울특별시 성북구 성북로 102,음식 종류 이탈리안,가격대 만원-2만원,2022-01-31,괜찮다,49,39.0,9.0,1.0
9,일흥콩나물국밥,4.4,성북구,주소 서울특별시 성북구 고려대로5길 77,음식 종류 탕 / 찌개 / 전골,가격대 만원 미만,2022-05-16,맛있다,11,11.0,0.0,0.0
10,드시소,4.4,성북구,주소 서울특별시 성북구 보국문로 86-3 1F,음식 종류 이자카야 / 오뎅 / 꼬치,가격대 2만원-3만원,2022-05-15,맛있다,8,8.0,0.0,0.0
11,마실참숯불생고기집,4.4,성북구,주소 서울특별시 성북구 종암로38길 41-2,음식 종류 고기 요리,가격대 만원-2만원,2022-07-21,맛있다,7,7.0,0.0,0.0
12,고른햇살,4.3,성북구,주소 서울특별시 성북구 개운사길 27,음식 종류 기타 한식,가격대 만원 미만,2022-07-29,맛있다,268,203.0,52.0,13.0
13,성북동누룽지백숙,4.3,성북구,주소 서울특별시 성북구 성북로31길 9,음식 종류 국수 / 면 요리,가격대 만원 미만,2022-07-16,맛있다,169,127.0,33.0,9.0
14,스시 오오시마 (휴업중),4.3,성북구,주소 서울특별시 성북구 성북로 74,가격대 4만원 이상,주차 주차공간없음,2022-05-22,맛있다,20,18.0,0.0,2.0
15,팔백집,4.3,성북구,주소 서울특별시 성북구 보문로30길 46,음식 종류 고기 요리,가격대 만원-2만원,2022-07-04,맛있다,30,24.0,5.0,1.0
16,바람난오리궁뎅이,4.3,성북구,주소 서울특별시 성북구 보국문로29길 15,음식 종류 닭 / 오리 요리,가격대 2만원-3만원,2021-07-30,맛있다,19,18.0,1.0,0.0
17,영순관,4.3,성북구,주소 서울특별시 성북구 지봉로24길 19,음식 종류 정통 중식 / 일반 중식,가격대 만원 미만,2022-01-30,맛있다,9,8.0,1.0,0.0
18,한상차림밥상,4.3,성북구,주소 서울특별시 성북구 고려대로8길 35 1F,음식 종류 한정식 / 백반 / 정통 한식,가격대 만원-2만원,2022-07-03,맛있다,26,21.0,3.0,2.0
19,밀곳간,4.3,성북구,주소 서울특별시 성북구 성북로18길 19,음식 종류 베이커리,가격대 만원 미만,2022-08-02,맛있다,14,14.0,0.0,0.0
20,제주고깃집,4.3,성북구,주소 서울특별시 성북구 안암로 69-1,음식 종류 고기 요리,가격대 만원-2만원,2022-07-25,맛있다,26,23.0,2.0,1.0
