,식당명,별점,구,주소,음식종류,가격대,리뷰날짜,리뷰평가,리뷰수,맛있다수,괜찮다수,별로다수
0,이코이,4.4,도봉구,주소 서울특별시 도봉구 도봉로112길 20,음식 종류 돈부리 / 일본 카레 / 벤토,가격대 만원-2만원,2022-05-29,맛있다,37,32,4,1
1,패멩베이커리,4.3,도봉구,주소 서울특별시 도봉구 도봉로116길 4,음식 종류 카페 / 디저트,가격대 만원 미만,2022-04-18,맛있다,7,7,0,0
2,스마일닭강정,4.3,도봉구,주소 서울특별시 도봉구 도봉로110아길 7 1F,음식 종류 닭 / 오리 요리,가격대 만원 미만,2022-03-19,맛있다,7,7,0,0
3,코노하카레,4.2,도봉구,주소 서울특별시 도봉구 우이천로20길 7 103동상가 1F,음식 종류 돈부리 / 일본 카레 / 벤토,가격대 만원-2만원,2022-02-07,맛있다,38,32,6,0
4,버거브라더,4.2,도봉구,주소 서울특별시 도봉구 마들로 657 1F,음식 종류 브런치 / 버거 / 샌드위치,가격대 만원 미만,2022-06-30,맛있다,8,7,1,0
5,후타츠,4.1,도봉구,주소 서울특별시 도봉구 도봉로110길 9 1F,음식 종류 라멘 / 소바 / 우동,가격대 만원-2만원,2 일 전,맛있다,15,11,4,0
6,하이쿠,4.1,도봉구,주소 서울특별시 도봉구 도봉로114길 40 1F,음식 종류 돈부리 / 일본 카레 / 벤토,가격대 만원-2만원,2022-04-13,별로,37,28,6,3
7,마쯔무라돈까스,4.1,도봉구,주소 서울특별시 도봉구 노해로63길 84 B1,음식 종류 까스 요리,가격대 만원 미만,2022-07-12,맛있다,86,73,11,2
8,수정궁,4.1,도봉구,주소 서울특별시 도봉구 방학로 173,음식 종류 딤섬 / 만두,가격대 만원 미만,2022-03-30,맛있다,24,16,5,3
9,홍방원,4.1,도봉구,주소 서울특별시 도봉구 도봉로169나길 47,음식 종류 정통 중식 / 일반 중식,가격대 만원 미만,2022-07-07,맛있다,8,7,1,0
10,겨리,4.1,도봉구,주소 서울특별시 도봉구 도봉로112길 29 1F,음식 종류 돈부리 / 일본 카레 / 벤토,가격대 만원-2만원,2022-06-10,괜찮다,9,6,3,0
11,쌍문동판다쓰,4.0,도봉구,주소 서울특별시 도봉구 우이천로24길 49 다온쉐르빌,음식 종류 정통 중식 / 일반 중식,가격대 만원 미만,2022-03-05,괜찮다,33,25,6,2
12,원성반점,4.0,도봉구,주소 서울특별시 도봉구 노해로 233-1,음식 종류 정통 중식 / 일반 중식,가격대 만원 미만,2022-04-10,맛있다,13,9,3,1
13,쌍문동커피,4.0,도봉구,주소 서울특별시 도봉구 도봉로116길 5,음식 종류 카페 / 디저트,가격대 만원 미만,2021-11-19,맛있다,17,16,1,0
14,참만두,4.0,도봉구,주소 서울특별시 도봉구 노해로 383 KB국민은행 창동지점 앞,음식 종류 한정식 / 백반 / 정통 한식,가격대 만원 미만,2022-02-27,맛있다,12,8,3,1
15,면장우동,4.0,도봉구,주소 서울특별시 도봉구 도봉로118길 10,음식 종류 라멘 / 소바 / 우동,가격대 만원 미만,2021-11-26,맛있다,17,15,1,1
16,쉐프마인드,3.9,도봉구,주소 서울특별시 도봉구 노해로 384 동아상가 1F,음식 종류 이자카야 / 오뎅 / 꼬치,가격대 만원-2만원,2022-05-02,맛있다,29,20,7,2
17,트라토리아진,3.9,도봉구,주소 서울특별시 도봉구 도봉로110길 39-9,음식 종류 이탈리안,가격대 만원 미만,2022-07-31,맛있다,48,36,10,2
18,김화자카페,3.9,도봉구,주소 서울특별시 도봉구 도봉로114길 50,음식 종류 카페 / 디저트,가격대 만원 미만,2021-06-08,맛있다,26,21,5,0
19,창동짬뽕,3.9,도봉구,주소 서울특별시 도봉구 노해로63길 84,음식 종류 정통 중식 / 일반 중식,가격대 만원 미만,2022-08-01,맛있다,27,19,5,3
20,동적불고기,3.9,도봉구,주소 서울특별시 도봉구 도봉로109길 30 1F,음식 종류 고기 요리,가격대 만원-2만원,2021-12-13,맛있다,30,21,6,3
21,카페작약,3.9,도봉구,주소 서울특별시 도봉구 도봉로118길 10 2F,음식 종류 카페 / 디저트,가격대 만원 미만,2022-06-23,맛있다,12,8,4,0
22,카페오븐,3.8,도봉구,주소 서울특별시 도봉구 해등로16길 12 현대아파트,음식 종류 카페 / 디저트,가격대 만원 미만,2022-07-29,맛있다,22,19,3,0
23,최고집칼국수,3.8,도봉구,주소 서울특별시 도봉구 덕릉로 270,음식 종류 국수 / 면 요리,가격대 만원 미만,2022-05-17,맛있다,8,4,4,0
24,메이다이닝,3.7,도봉구,주소 서울특별시 도봉구 도봉로169길 208,음식 종류 스테이크 / 바베큐,가격대 2만원-3만원,4 일 전,별로,27,13,10,4
25,피자리아150길,3.7,도봉구,주소 서울특별시 도봉구 도봉로150다길 64,음식 종류 이탈리안,가격대 만원-2만원,2022-08-01,맛있다,24,18,2,4
26,히피스베이글,3.7,도봉구,주소 서울특별시 강북구 삼양로 528,음식 종류 카페 / 디저트,가격대 만원 미만,2021-02-16,괜찮다,33,26,6,1
27,햇살힐링식당,3.7,도봉구,주소 서울특별시 도봉구 도봉로147길 17 1F,음식 종류 돈부리 / 일본 카레 / 벤토,가격대 만원 미만,2022-07-22,괜찮다,10,7,2,1
28,무수옥,3.7,도봉구,주소 서울특별시 도봉구 도봉로165길 15,음식 종류 탕 / 찌개 / 전골,가격대 만원-2만원,2022-05-22,맛있다,35,24,7,4
29,도봉관,3.7,도봉구,주소 서울특별시 도봉구 노해로 261 더럭스나인,음식 종류 카페 / 디저트,가격대 만원 미만,2022-06-19,괜찮다,23,13,7,3
