,식당명,별점,구,주소,음식종류,가격대,리뷰날짜,리뷰평가,리뷰수,맛있다수,괜찮다수,별로다수
0,회현식당,4.8,서울시 중구,주소 서울특별시 중구 퇴계로2길 9-8,음식 종류 이자카야 / 오뎅 / 꼬치,가격대 2만원-3만원,2022-08-08,괜찮다,41,36,5,0
1,오제제,4.8,서울시 중구,주소 서울특별시 중구 세종대로 136 B3,음식 종류 까스 요리,가격대 만원-2만원,1 일 전,맛있다,39,35,4,0
2,시키카츠,4.8,서울시 중구,주소 서울특별시 중구 다산로42나길 14 1F,음식 종류 까스 요리,가격대 만원-2만원,2022-06-17,맛있다,34,29,5,0
3,패스트리부티크,4.7,서울시 중구,주소 서울특별시 중구 동호로 249 서울신라호텔 1F,음식 종류 베이커리,가격대 4만원 이상,2022-07-15,맛있다,97,83,14,0
4,회현카페,4.7,서울시 중구,주소 서울특별시 중구 퇴계로2길 9-8 2F,음식 종류 까스 요리,가격대 2만원-3만원,2022-05-26,괜찮다,21,18,3,0
5,팔레드 신,4.6,서울시 중구,주소 서울특별시 중구 퇴계로 67 6F,음식 종류 정통 중식 / 일반 중식,가격대 4만원 이상,2022-07-18,맛있다,98,75,19,4
6,더파크뷰,4.6,서울시 중구,주소 서울특별시 중구 동호로 249 서울신라호텔 1F,음식 종류 뷔페,가격대 4만원 이상,2022-07-19,맛있다,161,127,32,2
7,주옥,4.6,서울시 중구,주소 서울특별시 중구 소공로 119 더 플라자 3F,음식 종류 퓨전 한식,가격대 4만원 이상,2022-08-11,맛있다,45,39,6,0
8,러시아케익,4.6,서울시 중구,주소 서울특별시 중구 을지로42길 7,가격대 만원 미만,주차 주차공간없음,2022-07-31,맛있다,75,64,9,2
9,미성옥,4.6,서울시 중구,주소 서울특별시 중구 명동길 25-11 1F,음식 종류 탕 / 찌개 / 전골,가격대 만원-2만원,5 분 전,괜찮다,109,88,15,6
10,시미베,4.6,서울시 중구,주소 서울특별시 중구 퇴계로 386-1,음식 종류 이자카야 / 오뎅 / 꼬치,가격대 만원-2만원,2022-08-04,맛있다,17,14,3,0
11,유가,4.6,서울시 중구,주소 서울특별시 중구 퇴계로12길 68,음식 종류 정통 중식 / 일반 중식,가격대 만원-2만원,2022-05-19,맛있다,17,16,1,0
12,황소막창구이,4.6,서울시 중구,주소 서울특별시 중구 을지로3길 49,음식 종류 고기 요리,가격대 만원-2만원,2022-07-12,맛있다,16,16,0,0
13,을지면옥 (휴업중),4.5,서울시 중구,주소 서울특별시 중구 충무로14길 2-1,음식 종류 국수 / 면 요리,가격대 만원-2만원,2022-06-28,맛있다,326,263,43,20
14,스시조,4.5,서울시 중구,주소 서울특별시 중구 소공로 106 서울 웨스틴조선호텔 20F,음식 종류 정통 일식 / 일반 일식,가격대 4만원 이상,2022-08-05,맛있다,48,38,6,4
15,유즈라멘,4.5,서울시 중구,주소 서울특별시 중구 만리재로 217,음식 종류 라멘 / 소바 / 우동,가격대 만원 미만,2 일 전,맛있다,164,134,21,9
16,스담,4.5,서울시 중구,주소 서울특별시 중구 다산로28길 2-1,음식 종류 회 / 스시,가격대 만원-2만원,2022-06-29,맛있다,45,35,8,2
17,나인스게이트,4.5,서울시 중구,주소 서울특별시 중구 소공로 106 서울 웨스틴조선호텔 LF,음식 종류 스테이크 / 바베큐,가격대 4만원 이상,2022-07-31,맛있다,47,38,8,1
18,애성회관,4.5,서울시 중구,주소 서울특별시 중구 남대문로5길 23,음식 종류 탕 / 찌개 / 전골,가격대 만원 미만,2022-08-06,맛있다,140,114,19,7
19,백송,4.5,서울시 중구,주소 서울특별시 중구 다산로33다길 45,음식 종류 고기 요리,가격대 3만원-4만원,2022-05-29,맛있다,39,30,6,3
20,도림,4.5,서울시 중구,주소 서울특별시 중구 남대문로 81 롯데호텔서울 본관 37F,음식 종류 정통 중식 / 일반 중식,가격대 4만원 이상,2021-07-12,맛있다,32,29,3,0
21,리사르커피로스터스,4.5,서울시 중구,주소 서울특별시 중구 다산로8길 16-7,음식 종류 카페 / 디저트,가격대 만원 미만,2022-08-10,맛있다,51,43,6,2
22,페스타바이민구,4.5,서울시 중구,주소 서울특별시 중구 장충단로 60,음식 종류 기타 양식,가격대 4만원 이상,2022-05-21,맛있다,14,12,2,0
23,해남낙지,4.5,서울시 중구,주소 서울특별시 중구 을지로43길 9 B1,음식 종류 해산물 요리,가격대 만원-2만원,6 일 전,맛있다,35,30,3,2
24,벱비엣,4.5,서울시 중구,주소 서울특별시 중구 마른내로 17-1,음식 종류 베트남 음식,가격대 만원-2만원,2022-07-31,맛있다,34,29,3,2
25,우래옥,4.4,서울시 중구,주소 서울특별시 중구 창경궁로 62-29,음식 종류 국수 / 면 요리,가격대 만원-2만원,2022-07-25,맛있다,453,360,69,24
26,아리아께,4.4,서울시 중구,주소 서울특별시 중구 동호로 249 서울신라호텔 2F,음식 종류 정통 일식 / 일반 일식,가격대 4만원 이상,2022-05-18,괜찮다,49,44,5,0
27,사랑방칼국수,4.4,서울시 중구,주소 서울특별시 중구 퇴계로27길 46,음식 종류 국수 / 면 요리,가격대 만원 미만,3 일 전,맛있다,201,167,22,12
28,광화문국밥,4.4,서울시 중구,주소 서울특별시 중구 세종대로21길 53,음식 종류 탕 / 찌개 / 전골,가격대 만원-2만원,2022-07-28,맛있다,120,87,28,5
29,호수집,4.4,서울시 중구,주소 서울특별시 중구 청파로 443,음식 종류 닭 / 오리 요리,가격대 만원-2만원,2022-06-10,맛있다,109,83,19,7
30,맷차,4.4,서울시 중구,주소 서울특별시 중구 명동9길 17,음식 종류 카페 / 디저트,가격대 만원 미만,2022-08-04,맛있다,67,53,11,3
31,무교동북어국집,4.4,서울시 중구,주소 서울특별시 중구 을지로1길 38,음식 종류 탕 / 찌개 / 전골,가격대 만원 미만,2022-06-19,맛있다,124,102,16,6
32,다만프레르,4.4,서울시 중구,주소 서울특별시 중구 세종대로 136 B1 107호,음식 종류 카페 / 디저트,가격대 만원 미만,2022-06-29,맛있다,92,78,12,2
33,멘텐,4.4,서울시 중구,주소 서울특별시 중구 삼일대로 305 동북빌딩,가격대 만원-2만원,주차 주차공간없음,3 일 전,맛있다,85,61,17,7
34,주신당,4.4,서울시 중구,주소 서울특별시 중구 퇴계로 411,음식 종류 칵테일 / 와인,가격대 만원-2만원,2022-07-17,맛있다,26,24,1,1
35,무학,4.4,서울시 중구,주소 서울특별시 중구 왕십리로 399,음식 종류 고기 요리,가격대 만원-2만원,2022-06-14,맛있다,26,23,3,0
36,계류관,4.4,서울시 중구,주소 서울특별시 중구 퇴계로87길 15-17 102-103호,음식 종류 닭 / 오리 요리,가격대 만원-2만원,2022-08-07,맛있다,21,18,2,1
37,홍연,4.4,서울시 중구,주소 서울특별시 중구 소공로 106 서울 웨스틴조선호텔,음식 종류 정통 중식 / 일반 중식,가격대 4만원 이상,21 시간 전,맛있다,24,19,4,1
38,중앙갈치식당,4.4,서울시 중구,주소 서울특별시 중구 남대문시장길 22-12,음식 종류 한정식 / 백반 / 정통 한식,가격대 만원-2만원,2022-07-31,맛있다,37,26,11,0
39,이남장,4.4,서울시 중구,주소 서울특별시 중구 삼일대로12길 16,음식 종류 탕 / 찌개 / 전골,가격대 만원-2만원,2022-08-10,맛있다,29,23,5,1
40,풍년 닭도리탕,4.4,서울시 중구,주소 서울특별시 중구 세종대로14길 17-5,음식 종류 닭 / 오리 요리,가격대 만원-2만원,2022-07-13,맛있다,34,27,3,4
41,무궁화,4.4,서울시 중구,주소 서울특별시 중구 남대문로 81 롯데호텔서울 본관 38F,음식 종류 한정식 / 백반 / 정통 한식,가격대 4만원 이상,2022-06-23,맛있다,9,9,0,0
42,커피인쇄소,4.4,서울시 중구,주소 서울특별시 중구 퇴계로27길 12-5 2F,가격대 만원 미만,영업시간 금-토: 12:00 - 20:00,2022-08-07,맛있다,9,9,0,0
43,어시장전주식당,4.4,서울시 중구,주소 서울특별시 중구 창경궁로 67-13,음식 종류 해산물 요리,가격대 만원-2만원,2022-06-21,맛있다,18,17,1,0
44,나이스타임2,4.4,서울시 중구,주소 서울특별시 중구 남대문로9길 6,음식 종류 이탈리안,가격대 2만원-3만원,2022-07-22,맛있다,6,5,1,0
45,동강나루터,4.4,서울시 중구,주소 서울특별시 중구 삼일대로12길 13,음식 종류 해산물 요리,가격대 만원-2만원,2022-06-23,맛있다,14,12,2,0
46,금돼지식당,4.3,서울시 중구,주소 서울특별시 중구 다산로 149,음식 종류 고기 요리,가격대 2만원-3만원,2 일 전,맛있다,187,139,30,18
47,평양면옥,4.3,서울시 중구,주소 서울특별시 중구 장충단로 207,음식 종류 국수 / 면 요리,가격대 만원-2만원,2 일 전,맛있다,212,159,40,13
48,필동면옥,4.3,서울시 중구,주소 서울특별시 중구 서애로 26,음식 종류 국수 / 면 요리,가격대 만원-2만원,2022-08-02,맛있다,250,180,39,31
49,더라이브러리,4.3,서울시 중구,주소 서울특별시 중구 동호로 249 서울신라호텔 1F,음식 종류 카페 / 디저트,가격대 2만원-3만원,5 일 전,맛있다,148,116,24,8
50,라망시크레,4.3,서울시 중구,주소 서울특별시 중구 퇴계로 67 레스케이프 호텔 26F,음식 종류 이탈리안,가격대 4만원 이상,6 시간 전,맛있다,26,20,5,1
