,식당명,별점,구,주소,음식종류,가격대,리뷰날짜,리뷰평가,리뷰수,맛있다수,괜찮다수,별로다수
0,작은피자집,4.8,동작구,주소 서울특별시 동작구 사당로30길 96,음식 종류 기타 양식,가격대 만원-2만원,2022-08-12,맛있다,60,54,5,1
1,운봉산장양고기전문점,4.6,동작구,주소 서울특별시 동작구 장승배기로 118-1,음식 종류 고기 요리,가격대 2만원-3만원,2022-08-13,맛있다,46,39,6,1
2,올라아보,4.5,동작구,주소 서울특별시 동작구 사당로 300 이수자이 116호,음식 종류 남미 음식,가격대 만원-2만원,2022-06-03,맛있다,76,54,21,1
3,페니힐스커피스테이션,4.4,동작구,주소 서울특별시 동작구 동작대로1길 10-14 1F,음식 종류 카페 / 디저트,가격대 만원 미만,2022-06-06,맛있다,101,78,20,3
4,서평면옥,4.4,동작구,주소 서울특별시 동작구 보라매로5길 15 B1,음식 종류 국수 / 면 요리,가격대 만원 미만,6 일 전,맛있다,22,21,1,0
5,전라상회,4.4,동작구,주소 서울특별시 동작구 노들로 688 노량진 수산물도매시장 1F 활어-161,음식 종류 해산물 요리,가격대 4만원 이상,2022-05-07,맛있다,26,22,0,4
6,고우마구로,4.4,동작구,주소 서울특별시 동작구 양녕로 249,음식 종류 회 / 스시,가격대 2만원-3만원,2022-04-20,맛있다,6,6,0,0
7,상남스시,4.3,동작구,주소 서울특별시 동작구 여의대방로24길 64 1F,음식 종류 회 / 스시,가격대 2만원-3만원,2022-04-09,맛있다,29,22,7,0
8,형제상회,4.3,동작구,주소 서울특별시 동작구 노들로 688 노량진수산시장 1F 활어-172,음식 종류 해산물 요리,가격대 만원-2만원,2022-06-26,맛있다,117,91,14,12
9,가네끼스시,4.3,동작구,주소 서울특별시 동작구 보라매로5가길 16 보라매아카데미타워 2F,음식 종류 회 / 스시,가격대 4만원 이상,6 일 전,맛있다,13,11,0,2
10,다독이네 숯불구이,4.3,동작구,주소 서울특별시 동작구 노량진로 106-5 1F,음식 종류 고기 요리,가격대 만원 미만,2022-03-31,맛있다,25,23,2,0
11,청양수산,4.3,동작구,주소 서울특별시 동작구 노들로 688 노량진수산시장 고급 28호,음식 종류 해산물 요리,가격대 2만원-3만원,2022-04-13,맛있다,13,9,4,0
12,김씨마구로,4.3,동작구,주소 서울특별시 동작구 노들로 674 노량진수산물도매시장 신시장 2F,음식 종류 회 / 스시,가격대 4만원 이상,2021-12-25,맛있다,20,17,1,2
13,소라노호시,4.3,동작구,주소 서울특별시 동작구 동작대로27길 16-5,음식 종류 이자카야 / 오뎅 / 꼬치,가격대 3만원-4만원,2022-05-19,맛있다,9,9,0,0
14,등나무집,4.3,동작구,주소 서울특별시 동작구 대림로 52,음식 종류 탕 / 찌개 / 전골,가격대 만원-2만원,6 일 전,맛있다,22,18,4,0
15,오꼬노미스토리,4.3,동작구,주소 서울특별시 동작구 노량진로10길 27,음식 종류 철판 요리,가격대 만원-2만원,2022-04-19,괜찮다,22,18,4,0
16,현고대닭발,4.3,동작구,주소 서울특별시 동작구 동작대로23길 25,음식 종류 닭 / 오리 요리,가격대 만원-2만원,2022-07-22,맛있다,18,13,4,1
17,청와옥,4.3,동작구,주소 서울특별시 동작구 동작대로 71,음식 종류 한정식 / 백반 / 정통 한식,가격대 만원-2만원,2022-05-26,맛있다,9,8,1,0
18,가마솥손두부,4.3,동작구,주소 서울특별시 동작구 남부순환로271길 20,음식 종류 탕 / 찌개 / 전골,가격대 만원 미만,2022-01-19,맛있다,7,7,0,0
19,초와밥,4.2,동작구,주소 서울특별시 동작구 동작대로5길 8,음식 종류 회 / 스시,가격대 만원-2만원,2022-08-04,맛있다,117,83,21,13
20,독도수산,4.2,동작구,주소 서울특별시 동작구 노들로 674 노량진수산시장 신관 1F 활어2-4호,음식 종류 해산물 요리,가격대 2만원-3만원,2022-05-20,맛있다,21,17,3,1
21,사당광안리,4.2,동작구,주소 서울특별시 동작구 동작대로7길 5,음식 종류 해산물 요리,가격대 2만원-3만원,2022-01-21,맛있다,25,18,6,1
22,스시로로,4.1,동작구,주소 서울특별시 동작구 동작대로23길 29 1F,음식 종류 회 / 스시,가격대 만원-2만원,2022-08-14,맛있다,225,158,37,30
23,오다가다,4.1,동작구,주소 서울특별시 동작구 동작대로35길 10,음식 종류 카페 / 디저트,가격대 만원 미만,2021-09-12,맛있다,84,68,14,2
24,브레드덕,4.1,동작구,주소 서울특별시 동작구 상도로30길 39,음식 종류 베이커리,가격대 만원 미만,2022-06-07,맛있다,63,52,10,1
25,리틀크레이지피자,4.1,동작구,주소 서울특별시 동작구 동작대로27길 9,음식 종류 기타 양식,가격대 만원 미만,5 일 전,맛있다,65,49,10,6
26,정작가의 막걸리집,4.1,동작구,주소 서울특별시 동작구 동작대로33가길 5 1F,음식 종류 전통 주점 / 포차,가격대 만원-2만원,2022-07-16,맛있다,17,15,2,0
27,요란한부엌,4.1,동작구,주소 서울특별시 동작구 사당로30길 126,음식 종류 일반 주점,가격대 만원-2만원,2022-03-17,맛있다,25,21,3,1
28,리앤홍,4.1,동작구,주소 서울특별시 동작구 서달로14길 18 2F,음식 종류 카페 / 디저트,가격대 만원 미만,2022-01-25,맛있다,12,10,2,0
29,필수,4.1,동작구,주소 서울특별시 동작구 현충로 102,음식 종류 일반 주점,가격대 만원-2만원,2022-01-31,맛있다,12,10,1,1
30,사당돈,4.1,동작구,주소 서울특별시 동작구 사당로30길 159 1F,음식 종류 고기 요리,가격대 2만원-3만원,2022-04-11,맛있다,6,5,1,0
31,조복남,4.1,동작구,주소 서울특별시 동작구 사당로17다길 9 B201호,음식 종류 카페 / 디저트,가격대 만원 미만,2022-05-29,맛있다,6,6,0,0
32,재팔이네닭발,4.1,동작구,주소 서울특별시 동작구 서달로14길 34,음식 종류 닭 / 오리 요리,가격대 만원-2만원,2022-05-14,괜찮다,18,14,4,0
33,상도실내포장마차,4.1,동작구,주소 서울특별시 동작구 상도로 288,음식 종류 전통 주점 / 포차,가격대 만원-2만원,2022-06-01,맛있다,17,16,1,0
34,와플스,4.1,동작구,주소 서울특별시 동작구 노량진로16길 26 1F,음식 종류 카페 / 디저트,가격대 만원 미만,2022-06-27,맛있다,10,10,0,0
35,대박,4.1,동작구,주소 서울특별시 동작구 흑석로 111-5,음식 종류 해산물 요리,가격대 2만원-3만원,2022-04-06,괜찮다,12,9,3,0
36,가야로스트보쌈,4.1,동작구,주소 서울특별시 동작구 양녕로 286-1,음식 종류 고기 요리,가격대 만원-2만원,2022-07-31,별로,9,5,3,1
37,애플하우스,4.0,동작구,주소 서울특별시 동작구 동작대로27다길 29 2F,음식 종류 기타 한식,가격대 만원 미만,4 일 전,맛있다,384,208,125,51
38,우부래도,4.0,동작구,주소 서울특별시 동작구 상도로37길 3 1F,음식 종류 베이커리,가격대 만원 미만,2022-06-18,맛있다,35,25,8,2
39,전주전집,4.0,동작구,주소 서울특별시 동작구 동작대로7길 19,음식 종류 전통 주점 / 포차,가격대 만원-2만원,2022-07-22,맛있다,94,61,27,6
40,낯선한식븟다,4.0,동작구,주소 서울특별시 동작구 사당로30길 28 1F,음식 종류 퓨전 한식,가격대 2만원-3만원,2022-03-31,맛있다,22,15,6,1
41,프라이밋 스테이크하우스,4.0,동작구,주소 서울특별시 동작구 상도로37길 42 1F,음식 종류 스테이크 / 바베큐,가격대 만원-2만원,2022-05-14,괜찮다,26,18,6,2
42,성민양꼬치,4.0,동작구,주소 서울특별시 동작구 서달로14나길 9,음식 종류 기타 중식,가격대 만원-2만원,2022-06-06,괜찮다,36,28,8,0
43,스톤504,4.0,동작구,주소 서울특별시 동작구 상도로61가길 2,음식 종류 스테이크 / 바베큐,가격대 만원 미만,2021-09-17,맛있다,27,18,9,0
44,농부쌈밥,4.0,동작구,주소 서울특별시 동작구 사당로30길 19,음식 종류 한정식 / 백반 / 정통 한식,가격대 만원 미만,2022-07-17,괜찮다,31,23,8,0
45,마마부찌,4.0,동작구,주소 서울특별시 동작구 만양로14길 40,음식 종류 탕 / 찌개 / 전골,가격대 만원 미만,2022-06-15,맛있다,31,24,5,2
46,정원분식,4.0,동작구,주소 서울특별시 동작구 사당로28길 5 1F,음식 종류 기타 한식,가격대 만원 미만,2022-03-09,괜찮다,13,9,4,0
47,가춘,4.0,동작구,주소 서울특별시 동작구 상도로 357,음식 종류 베이커리,가격대 만원 미만,2020-10-30,괜찮다,15,14,1,0
48,방배한가람김밥,4.0,동작구,주소 서울특별시 동작구 동작대로7길 55 지암빌딩,음식 종류 기타 한식,가격대 만원 미만,2021-09-12,괜찮다,10,7,3,0
49,이든돈카츠,4.0,동작구,주소 서울특별시 동작구 만양로14다길 3,음식 종류 까스 요리,가격대 만원 미만,2022-04-15,맛있다,13,9,4,0
50,파동추야,4.0,동작구,주소 서울특별시 동작구 상도로58길 4 경원빌딩,음식 종류 한정식 / 백반 / 정통 한식,가격대 만원 미만,2022-03-25,맛있다,16,14,2,0
51,리얼후라이,4.0,동작구,주소 서울특별시 동작구 사당로 6-1,음식 종류 닭 / 오리 요리,가격대 만원 미만,2021-12-09,맛있다,27,23,3,1
52,고렝,4.0,동작구,주소 서울특별시 동작구 상도로61길 72,음식 종류 다국적 아시아 음식,가격대 만원 미만,2021-04-21,맛있다,9,7,2,0
53,일성수산,4.0,동작구,주소 서울특별시 동작구 노들로 688,음식 종류 해산물 요리,가격대 2만원-3만원,2021-10-04,맛있다,13,11,2,0
54,김재운초밥사랑,4.0,동작구,주소 서울특별시 동작구 동작대로 69 1F,음식 종류 회 / 스시,가격대 만원-2만원,2022-07-31,괜찮다,10,6,3,1
55,유정우함흥냉면,4.0,동작구,주소 서울특별시 동작구 동작대로29다길 7-1 1F,음식 종류 국수 / 면 요리,가격대 만원 미만,2022-05-29,맛있다,6,4,2,0
56,산천칡냉면,4.0,동작구,주소 서울특별시 동작구 사당로14가길 18,음식 종류 국수 / 면 요리,가격대 만원 미만,2022-08-12,괜찮다,11,9,2,0
57,오센,3.9,동작구,주소 서울특별시 동작구 동작대로27나길 8,음식 종류 철판 요리,가격대 만원-2만원,5 일 전,괜찮다,77,46,25,6
58,피터패트,3.9,동작구,주소 서울특별시 동작구 상도로 294 1F,음식 종류 카페 / 디저트,가격대 만원 미만,2022-05-20,맛있다,41,27,11,3
59,브레드숨,3.9,동작구,주소 서울특별시 동작구 노량진로18길 37 1F,음식 종류 베이커리,가격대 만원 미만,2021-09-23,맛있다,49,38,9,2
60,프랑세즈,3.9,동작구,주소 서울특별시 동작구 현충로 96,음식 종류 베이커리,가격대 만원 미만,2022-04-14,맛있다,61,51,8,2
61,터방내,3.9,동작구,주소 서울특별시 동작구 흑석로 101-7,음식 종류 카페 / 디저트,가격대 만원 미만,2021-04-15,맛있다,55,43,12,0
62,사이공리,3.9,동작구,주소 서울특별시 동작구 장승배기로151-1,음식 종류 베트남 음식,가격대 만원 미만,2021-08-23,별로,45,32,7,6
63,서일순대국,3.9,동작구,주소 서울특별시 동작구 여의대방로24길 10-4,음식 종류 탕 / 찌개 / 전골,가격대 만원 미만,2022-08-02,맛있다,47,30,12,5
64,리얼후라이,3.9,동작구,주소 서울특별시 동작구 흑석로 115 1F,음식 종류 닭 / 오리 요리,가격대 만원-2만원,2021-11-05,맛있다,83,67,12,4
65,스프레드,3.9,동작구,주소 서울특별시 동작구 신대방3길 33 102호,음식 종류 퓨전 양식,가격대 만원-2만원,2022-02-02,별로,6,4,1,1
66,미학당,3.9,동작구,주소 서울특별시 동작구 사당로 56 2F,음식 종류 카페 / 디저트,가격대 만원 미만,2022-06-17,맛있다,25,23,2,0
67,빈빈양꼬치,3.9,동작구,주소 서울특별시 동작구 남부순환로271길 31,음식 종류 기타 중식,가격대 만원-2만원,2022-01-29,맛있다,14,12,1,1
68,블랑제리꾸끄,3.9,동작구,주소 서울특별시 동작구 만양로 37,음식 종류 베이커리,가격대 만원 미만,2021-10-19,맛있다,20,18,2,0
69,사당모소리,3.9,동작구,주소 서울특별시 동작구 사당로 243-5 1F,음식 종류 고기 요리,가격대 만원-2만원,2022-07-31,괜찮다,12,9,3,0
70,투디카페,3.9,동작구,주소 서울특별시 동작구 상도로 285,음식 종류 카페 / 디저트,가격대 만원 미만,2020-10-21,괜찮다,19,17,1,1
71,블랑제리가마,3.9,동작구,주소 서울특별시 동작구 사당로13길 31 두산위브트레지움상가 8-2호,음식 종류 베이커리,가격대 만원 미만,2022-04-05,맛있다,12,8,3,1
72,뚜스뚜스,3.9,동작구,주소 서울특별시 동작구 현충로 75 1F,음식 종류 카페 / 디저트,가격대 만원 미만,2022-07-16,맛있다,10,8,1,1
73,클라소피,3.9,동작구,주소 서울특별시 동작구 여의대방로22길 94 1F,음식 종류 카페 / 디저트,가격대 만원 미만,2022-07-21,맛있다,8,7,1,0
74,카페브르브르,3.9,동작구,주소 서울특별시 동작구 사당로29가길 6,가격대 만원 미만,주차 무료주차 가능,2022-02-06,괜찮다,13,10,3,0
75,신사,3.9,동작구,주소 서울특별시 동작구 동작대로 129 이호빌딩 4F,음식 종류 치킨 / 호프 / 펍,가격대 만원-2만원,2022-06-02,맛있다,17,10,3,4
76,양자호떡,3.9,동작구,주소 서울특별시 동작구 만양로 88,음식 종류 카페 / 디저트,가격대 만원 미만,2022-04-15,맛있다,16,10,5,1
77,바야흐로,3.9,동작구,주소 서울특별시 동작구 현충로 102,음식 종류 치킨 / 호프 / 펍,가격대 만원-2만원,2022-02-23,맛있다,13,10,1,2
78,케이크무드,3.9,동작구,주소 서울특별시 동작구 상도로15길 45 1F,음식 종류 카페 / 디저트,가격대 만원 미만,2022-04-29,맛있다,13,9,4,0
79,즉석바지락손칼국수,3.9,동작구,주소 서울특별시 동작구 상도로 77,음식 종류 국수 / 면 요리,가격대 만원 미만,2022-01-29,맛있다,32,24,8,0
