구,10000원 미만,20000원 미만,30000원 미만,40000원 미만,40000원 이상,맛집수,가격 점수
강남구,30,59,34,22,55,200,3.065
강동구,88,69,19,5,2,183,1.710382513661202
강북구,95,67,14,3,1,180,1.6
강서구,82,78,21,3,10,194,1.8711340206185567
관악구,91,79,18,1,2,191,1.6596858638743455
광진구,102,76,12,4,4,198,1.6464646464646464
구로구,68,90,27,3,1,189,1.8306878306878307
금천구,87,71,11,2,4,175,1.6571428571428573
노원구,93,76,12,5,3,189,1.6719576719576719
도봉구,110,59,12,3,0,184,1.5
동대문구,116,64,9,1,2,192,1.484375
동작구,100,58,28,2,4,192,1.7083333333333333
마포구,76,69,30,9,8,192,1.9791666666666667
서대문구,99,71,15,0,3,188,1.601063829787234
서초구,69,59,22,18,30,198,2.398989898989899
성동구,90,66,20,3,8,187,1.786096256684492
성북구,127,50,12,2,0,191,1.418848167539267
송파구,77,66,31,11,13,198,2.0757575757575757
양천구,88,66,22,9,2,187,1.7754010695187166
영등포구,90,68,14,8,20,200,2.0
용산구,46,76,33,14,22,191,2.424083769633508
은평구,94,67,17,2,2,182,1.6318681318681318
종로구,72,85,20,5,17,199,2.0452261306532664
중구,51,78,28,7,26,190,2.363157894736842
중랑구,92,70,12,4,2,180,1.6333333333333333
