,식당명,별점,주소,전화번호,음식종류,가격대,주차,영업시간,메뉴,리뷰날짜,리뷰평가
0,이코이,4.4,주소 서울특별시 도봉구 도봉로112길 20,전화번호 02-991-2344,음식 종류 돈부리 / 일본 카레 / 벤토,가격대 만원-2만원,주차 주차공간없음,"['월-금: 17:30 - 24:00', '토: 13:00 - 24:00']","['생참다랑어덮밥', '18,000원', '연어덮밥', '16,000원', '반반덮밥', '17,000원', '참다랑어 볏짚타다끼', '18,000원', '연어사시미', '26,000원']",2022-05-29,맛있다
1,패멩베이커리,4.3,주소 서울특별시 도봉구 도봉로116길 4,전화번호 02-6356-0535,음식 종류 카페 / 디저트,가격대 만원 미만,웹 사이트 식당 홈페이지로 가기,"['크루와상', '3,000원', '홍차큐브 페이스트리', '3,800원', '바닐라큐브 페이스트리', '3,800원', '뽀또큐브 페이스트리', '3,800원', '잡곡식빵', '3,900원']","['크루와상', '3,000원', '홍차큐브 페이스트리', '3,800원', '바닐라큐브 페이스트리', '3,800원', '뽀또큐브 페이스트리', '3,800원', '잡곡식빵', '3,900원']",2022-04-18,맛있다
2,스마일닭강정,4.3,주소 서울특별시 도봉구 도봉로110아길 7 1F,전화번호 02-900-8901,음식 종류 닭 / 오리 요리,가격대 만원 미만,메뉴,0,"['마늘 간장닭강정 (대)', '11,000원', '고추마늘 간장닭강정 (대)', '12,000원', '마늘 간장닭강정 (중)', '8,500원', '고추마늘 간장닭강정 (중)', '9,500원']",2022-03-19,맛있다
3,코노하카레,4.2,주소 서울특별시 도봉구 우이천로20길 7 103동상가 1F,전화번호 02-999-5746,음식 종류 돈부리 / 일본 카레 / 벤토,가격대 만원-2만원,주차 주차공간없음,['11:30 - 15:00'],"['에비카레', '11,000원', '차슈카레', '10,500원', '카츠카레', '10,000원', '야끼차슈카레', '13,000원', '감자고로케', '5,000원']",2022-02-07,맛있다
4,버거브라더,4.2,주소 서울특별시 도봉구 마들로 657 1F,전화번호 02-955-8887,음식 종류 브런치 / 버거 / 샌드위치,가격대 만원 미만,영업시간 09:30 - 21:30,['15:00 - 16:00'],"['베이컨치즈버거', '6,900원', '통새우칠리버거', '8,900원', '아보카도버거', '8,900원', '리코타치즈버거', '7,900원', '불고기버거', '5,900원']",2022-06-30,맛있다
5,후타츠,4.1,주소 서울특별시 도봉구 도봉로110길 9 1F,전화번호 0507-1356-5364,음식 종류 라멘 / 소바 / 우동,가격대 만원-2만원,0,0,0,1 일 전,맛있다
6,하이쿠,4.1,주소 서울특별시 도봉구 도봉로114길 40 1F,전화번호 02-907-0613,음식 종류 돈부리 / 일본 카레 / 벤토,가격대 만원-2만원,주차 주차공간없음,['12:00 - 21:00'],"['오늘의 카이센동', '22,000원', '오늘의 사시미 (1인)', '20,000원', '오늘의 사시미 (2인)', '39,000원', '단새우와 성게알(시가) 그리고 감태', '20,000원', '저염 명란구이, 오이 그리고 와사비 마요', '15,000원']",2022-04-13,별로
7,마쯔무라돈까스,4.1,주소 서울특별시 도봉구 노해로63길 84 B1,전화번호 02-990-9801,음식 종류 까스 요리,가격대 만원 미만,주차 주차공간없음,['09:30 - 19:30'],"['아이들돈까스', '8,000원', '로스까스', '8,500원', '히레까스', '9,000원', '치즈돈까스', '10,000원', '치킨까스', '8,000원']",2022-07-12,맛있다
8,수정궁,4.1,주소 서울특별시 도봉구 방학로 173,전화번호 02-3491-0440,음식 종류 딤섬 / 만두,가격대 만원 미만,주차 무료주차 가능,['16:00 - 22:00'],"['찐만두', '6,500원', '물만두', '6,500원', '군만두', '6,500원', '오리알', '6,500원', '돼지고기튀김', '19,000원']",2022-03-30,맛있다
9,홍방원,4.1,주소 서울특별시 도봉구 도봉로169나길 47,전화번호 02-954-0719,음식 종류 정통 중식 / 일반 중식,가격대 만원 미만,메뉴,0,"['짜장면', '4,500원', '간짜장', '5,000원', '볶음밥', '5,000원', '잡채밥', '6,000원', '탕수육', '14,000원']",2022-07-07,맛있다
