,구,2014,2015,2016
0,종로구,40923,40871,40664
1,중구,65364,66190,63640
2,용산구,20482,21178,20994
3,성동구,25714,26130,26581
4,광진구,24760,24531,24895
5,동대문구,32878,32994,32762
6,중랑구,28047,27287,27915
7,성북구,25104,24690,24560
8,강북구,19223,18654,18742
9,도봉구,18584,18455,18686
10,노원구,26081,25827,26271
11,은평구,24269,24179,24615
12,서대문구,19454,19612,19540
13,마포구,35070,36504,36191
14,양천구,26189,26297,26108
15,강서구,32789,33273,34662
16,구로구,36679,37445,38033
17,금천구,29557,30080,30987
18,영등포구,44099,44512,43678
19,동작구,20160,19609,19747
20,관악구,26396,26235,26377
21,서초구,45932,47061,46404
22,강남구,70262,73590,72281
23,송파구,44301,45375,45555
24,강동구,30481,30079,30268
