"동별(1)","동별(2)",동별(3),조직형태별(1),조직형태별(2),조직형태별(3),2017,2018,2019
"합계","소계",소계,합계,사업체수,사업체수,822863,823385,823624
"합계","소계",소계,합계,종사자수,소계,5119913,5210936,5226997
"합계","소계",소계,합계,종사자수,남,2848150,2878227,2885614
"합계","소계",소계,합계,종사자수,여,2271763,2332709,2341383
"합계","소계",소계,개인,사업체수,소계,628981,624869,618188
"합계","소계",소계,개인,종사자수,소계,1582451,1573654,1558442
"합계","소계",소계,회사법인,사업체수,소계,153609,156768,162552
"합계","소계",소계,회사법인,종사자수,소계,2730632,2792680,2783660
"합계","소계",소계,회사이외의 법인,사업체수,소계,19458,20498,21407
"합계","소계",소계,회사이외의 법인,종사자수,소계,681386,708244,737895
"합계","소계",소계,비법인단체,사업체수,소계,20815,21250,21477
"합계","소계",소계,비법인단체,종사자수,소계,125444,136358,147000
"합계","종로구",소계,합계,사업체수,사업체수,40490,39952,39679
"합계","종로구",소계,합계,종사자수,소계,268702,265017,260446
"합계","종로구",소계,합계,종사자수,남,154100,152717,146392
"합계","종로구",소계,합계,종사자수,여,114602,112300,114054
"합계","종로구",소계,개인,사업체수,소계,31924,31368,30885
"합계","종로구",소계,개인,종사자수,소계,77155,76350,75320
"합계","종로구",소계,회사법인,사업체수,소계,6351,6373,6540
"합계","종로구",소계,회사법인,종사자수,소계,137652,134993,129949
"합계","종로구",소계,회사이외의 법인,사업체수,소계,1330,1379,1399
"합계","종로구",소계,회사이외의 법인,종사자수,소계,49402,49215,50352
"합계","종로구",소계,비법인단체,사업체수,소계,885,832,855
"합계","종로구",소계,비법인단체,종사자수,소계,4493,4459,4825
"합계","종로구",사직동,합계,사업체수,사업체수,3544,3541,3574
"합계","종로구",사직동,합계,종사자수,소계,52489,49536,47522
"합계","종로구",사직동,합계,종사자수,남,31029,28658,25154
"합계","종로구",사직동,합계,종사자수,여,21460,20878,22368
"합계","종로구",사직동,개인,사업체수,소계,1840,1845,1844
"합계","종로구",사직동,개인,종사자수,소계,8702,8824,9066
"합계","종로구",사직동,회사법인,사업체수,소계,1376,1363,1375
"합계","종로구",사직동,회사법인,종사자수,소계,31777,29982,27684
"합계","종로구",사직동,회사이외의 법인,사업체수,소계,233,237,254
"합계","종로구",사직동,회사이외의 법인,종사자수,소계,11425,10174,10180
"합계","종로구",사직동,비법인단체,사업체수,소계,95,96,101
"합계","종로구",사직동,비법인단체,종사자수,소계,585,556,592
"합계","종로구",삼청동,합계,사업체수,사업체수,753,712,732
"합계","종로구",삼청동,합계,종사자수,소계,4507,4577,4601
"합계","종로구",삼청동,합계,종사자수,남,2225,2193,2271
"합계","종로구",삼청동,합계,종사자수,여,2282,2384,2330
"합계","종로구",삼청동,개인,사업체수,소계,520,478,490
"합계","종로구",삼청동,개인,종사자수,소계,1311,1283,1217
"합계","종로구",삼청동,회사법인,사업체수,소계,174,178,183
"합계","종로구",삼청동,회사법인,종사자수,소계,1248,1357,1351
"합계","종로구",삼청동,회사이외의 법인,사업체수,소계,45,43,48
"합계","종로구",삼청동,회사이외의 법인,종사자수,소계,1882,1874,2001
"합계","종로구",삼청동,비법인단체,사업체수,소계,14,13,11
"합계","종로구",삼청동,비법인단체,종사자수,소계,66,63,32
"합계","종로구",부암동,합계,사업체수,사업체수,567,565,599
"합계","종로구",부암동,합계,종사자수,소계,4147,3609,3454
"합계","종로구",부암동,합계,종사자수,남,2137,1706,1764
"합계","종로구",부암동,합계,종사자수,여,2010,1903,1690
"합계","종로구",부암동,개인,사업체수,소계,420,410,428
"합계","종로구",부암동,개인,종사자수,소계,1053,1009,1036
"합계","종로구",부암동,회사법인,사업체수,소계,76,82,92
"합계","종로구",부암동,회사법인,종사자수,소계,775,791,852
"합계","종로구",부암동,회사이외의 법인,사업체수,소계,26,35,40
"합계","종로구",부암동,회사이외의 법인,종사자수,소계,2143,1631,1392
"합계","종로구",부암동,비법인단체,사업체수,소계,45,38,39
"합계","종로구",부암동,비법인단체,종사자수,소계,176,178,174
"합계","종로구",평창동,합계,사업체수,사업체수,739,751,761
"합계","종로구",평창동,합계,종사자수,소계,3547,3565,3447
"합계","종로구",평창동,합계,종사자수,남,1679,1670,1518
"합계","종로구",평창동,합계,종사자수,여,1868,1895,1929
"합계","종로구",평창동,개인,사업체수,소계,528,532,541
"합계","종로구",평창동,개인,종사자수,소계,1344,1411,1441
"합계","종로구",평창동,회사법인,사업체수,소계,103,113,116
"합계","종로구",평창동,회사법인,종사자수,소계,952,1068,1012
"합계","종로구",평창동,회사이외의 법인,사업체수,소계,44,47,45
"합계","종로구",평창동,회사이외의 법인,종사자수,소계,879,725,619
"합계","종로구",평창동,비법인단체,사업체수,소계,64,59,59
"합계","종로구",평창동,비법인단체,종사자수,소계,372,361,375
"합계","종로구",무악동,합계,사업체수,사업체수,531,581,647
"합계","종로구",무악동,합계,종사자수,소계,1457,1598,1644
"합계","종로구",무악동,합계,종사자수,남,729,803,872
"합계","종로구",무악동,합계,종사자수,여,728,795,772
"합계","종로구",무악동,개인,사업체수,소계,481,530,593
