,학교명,구,주소,위도,경도
0, 서울대학교 , 관악구 ,서울특별시 관악구 관악로 1,37.45811495,126.95216069831967
1, 한국체육대학교 , 송파구 ,서울특별시 송파구 양재대로 1239,37.5117035,127.1279505
2, 서울과학기술대학교 , 노원구 ,서울특별시 노원구 공릉로 232,37.64522,127.06673
3, 서울시립대학교 , 동대문구 ,서울특별시 동대문구 서울시립대로 163,37.58302005,127.05917537929685
4, 감리교신학대학교 , 서대문구 ,서울특별시 서대문구 독립문로 56,37.567518899999996,126.96222302364211
5, 건국대학교 , 광진구 ,서울특별시 광진구 능동로 120,37.54184695,127.07711486219412
6, 경희대학교 , 동대문구 ,서울특별시 동대문구 경희대로 26,37.5971213,127.05198672345011
7, 고려대학교 , 성북구 ,서울특별시 성북구 안암로 145,37.5892568,127.0346783
8, 광운대학교 , 노원구 ,서울특별시 노원구 광운로 20,37.6196,127.05812
9, 국민대학교 , 성북구 ,서울특별시 성북구 정릉로 77,37.6102921,126.9959431
10, 케이씨대학교 , 강서구 ,서울특별시 강서구 까치산로24길 47,37.5495585,126.8525475
11, 서울기독대학교 , 은평구 ,서울특별시 은평구 갈현로4길 26-2,37.6006514,126.9139694
12, 덕성여자대학교 , 도봉구 ,서울특별시 도봉구 삼양로144길 33,37.6515195,127.0137039
13, 동국대학교 , 중구 ,서울특별시 중구 필동로1길 30,37.5569913,126.9994892
14, 동덕여자대학교 , 성북구 ,서울특별시 성북구 화랑로13길 60,37.6071978,127.0408928
15, 삼육대학교 , 노원구 ,서울특별시 노원구 화랑로 815,37.642012,127.10562109742006
16, 상명대학교 , 종로구 ,서울특별시 종로구 홍지문2길 20,37.6029659,126.95500919084654
17, 서강대학교 , 마포구 ,서울특별시 마포구 백범로 35,37.5521044,126.9409838739227
18, 서경대학교 , 성북구 ,서울특별시 성북구 서경로 124,37.6152532,127.0113892
19, 서울여자대학교 , 노원구 ,서울특별시 노원구 화랑로 621,37.6239187,127.0907603
20, 성공회대학교 , 구로구 ,서울특별시 구로구 연동로 320,37.486476,126.8236499
21, 성균관대학교 , 종로구 ,서울특별시 종로구 성균관로 25-2,37.5870459,126.99062637670926
22, 성신여자대학교 , 성북구 ,서울특별시 성북구 보문로34다길 2,37.5925097,127.0210204
