연도,학제,대학원구분,학교명,학교상태,본분교,시도,시군구,설립,주야구분,주소
2021, 대학교 ,  , 서울대학교 , 기존 , 본교 , 서울 , 서울 관악구 , 국립대법인 , 주간 ," 서울특별시 관악구 관악로 1 (신림동, 서울대학교) "
2021, 대학교 ,  , 한국체육대학교 , 기존 , 본교 , 서울 , 서울 송파구 , 국립 , 주간 ," 서울특별시 송파구 양재대로 1239 (방이동, 한국체육대학교) "
2021, 대학교 ,  , 서울과학기술대학교 , 기존 , 본교 , 서울 , 서울 노원구 , 국립 , 주야간 ," 서울특별시 노원구 공릉로 232 (공릉동, 서울과학기술대학교) "
2021, 대학교 ,  , 서울시립대학교 , 기존 , 본교 , 서울 , 서울 동대문구 , 공립 , 주간 ," 서울특별시 동대문구 서울시립대로 163 (전농동, 서울시립대학교) "
2021, 대학교 ,  , 감리교신학대학교 , 기존 , 본교 , 서울 , 서울 서대문구 , 사립 , 주간 ," 서울특별시 서대문구 독립문로 56 (냉천동, 감리교신학대학) "
2021, 대학교 ,  , 건국대학교 , 기존 , 본교 , 서울 , 서울 광진구 , 사립 , 주간 ," 서울특별시 광진구 능동로 120 (화양동, 건국대학교) "
2021, 대학교 ,  , 경희대학교 , 기존 , 본교 , 서울 , 서울 동대문구 , 사립 , 주야간 ," 서울특별시 동대문구 경희대로 26 (회기동, 경희대학교) "
2021, 대학교 ,  , 고려대학교 , 기존 , 본교 , 서울 , 서울 성북구 , 사립 , 주간 ," 서울특별시 성북구 안암로 145 (안암동5가, 고려대학교안암캠퍼스(인문사회계)) "
2021, 대학교 ,  , 광운대학교 , 기존 , 본교 , 서울 , 서울 노원구 , 사립 , 주야간 ," 서울특별시 노원구 광운로 20 (월계동, 광운대학교) "
2021, 대학교 ,  , 국민대학교 , 기존 , 본교 , 서울 , 서울 성북구 , 사립 , 주야간 ," 서울특별시 성북구 정릉로 77 (정릉동, 국민대학교) "
2021, 대학교 ,  , 케이씨대학교 , 기존 , 본교 , 서울 , 서울 강서구 , 사립 , 주야간 ," 서울특별시 강서구 까치산로24길 47 (화곡동, 그리스도대학교) "
2021, 대학교 ,  , 서울기독대학교 , 기존 , 본교 , 서울 , 서울 은평구 , 사립 , 주야간 ," 서울특별시 은평구 갈현로4길 26-2 (신사동, 서울기독대학교) "
2021, 대학교 ,  , 덕성여자대학교 , 기존 , 본교 , 서울 , 서울 도봉구 , 사립 , 주간 ," 서울특별시 도봉구 삼양로144길 33 (쌍문동, 덕성여자대학교) "
2021, 대학교 ,  , 동국대학교 , 기존 , 본교 , 서울 , 서울 중구 , 사립 , 주야간 ," 서울특별시 중구 필동로1길 30 (장충동2가, 동국대학교) "
2021, 대학교 ,  , 동덕여자대학교 , 기존 , 본교 , 서울 , 서울 성북구 , 사립 , 주야간 ," 서울특별시 성북구 화랑로13길 60 (하월곡동, 동덕여자대학교) "
2021, 대학교 ,  , 삼육대학교 , 기존 , 본교 , 서울 , 서울 노원구 , 사립 , 주간 ," 서울특별시 노원구 화랑로 815 (공릉동, 삼육대학교) "
2021, 대학교 ,  , 상명대학교 , 기존 , 본교 , 서울 , 서울 종로구 , 사립 , 주야간 ," 서울특별시 종로구 홍지문2길 20 (홍지동, 상명대학교) "
2021, 대학교 ,  , 서강대학교 , 기존 , 본교 , 서울 , 서울 마포구 , 사립 , 주간 ," 서울특별시 마포구 백범로 35 (신수동, 서강대학교) "
2021, 대학교 ,  , 서경대학교 , 기존 , 본교 , 서울 , 서울 성북구 , 사립 , 주간 ," 서울특별시 성북구 서경로 124 (정릉동, 서경대학) "
2021, 대학교 ,  , 서울여자대학교 , 기존 , 본교 , 서울 , 서울 노원구 , 사립 , 주야간 ," 서울특별시 노원구 화랑로 621 (공릉동, 서울여자대학교) "
2021, 대학교 ,  , 성공회대학교 , 기존 , 본교 , 서울 , 서울 구로구 , 사립 , 주야간 ," 서울특별시 구로구 연동로 320 (항동, 성공회대학교) "
