,구,소득세,가격 점수
0,도봉구,227929,1.5
1,노원구,404969,1.671957671957672
2,강북구,146936,1.6
3,은평구,413900,1.6318681318681318
4,종로구,3169471,2.0452261306532664
5,성북구,863338,1.418848167539267
6,동대문구,523330,1.484375
7,중랑구,259445,1.6333333333333333
8,서대문구,715787,1.601063829787234
9,마포구,1427778,1.9791666666666667
10,중구,5747605,2.363157894736842
11,용산구,3291837,2.424083769633508
12,성동구,1019955,1.786096256684492
13,광진구,1019955,1.6464646464646464
14,강동구,899452,1.710382513661202
15,송파구,3138921,2.075757575757576
16,강남구,10239094,3.065
17,강서구,1098252,1.8711340206185567
18,양천구,916701,1.7754010695187166
19,영등포구,5944329,2.0
20,동작구,953485,1.7083333333333333
21,서초구,6299978,2.398989898989899
22,관악구,426240,1.6596858638743457
23,금천구,616415,1.6571428571428573
24,구로구,713170,1.8306878306878307
