,구,총 인구수,남자 인구수,여자 인구수,리뷰수
0,종로구,140389,67928,72461,1855
1,중구,119402,57975,61427,1051
2,용산구,216005,103947,112058,1576
3,성동구,280295,136351,143944,799
4,광진구,336339,162081,174258,335
5,동대문구,333759,164366,169393,534
6,중랑구,384950,189325,195625,49
7,성북구,429175,206542,222633,347
8,강북구,293211,142404,150807,102
9,도봉구,311833,151470,160363,134
10,노원구,503798,242304,261494,105
11,은평구,468176,223511,244665,88
12,서대문구,301728,143834,157894,917
13,마포구,362552,170174,192378,2294
14,양천구,440549,215582,224967,62
15,강서구,568286,272832,295454,180
16,구로구,391812,192605,199207,55
17,금천구,229414,115558,113856,50
18,영등포구,372472,183265,189207,610
19,동작구,381787,184548,197239,379
20,관악구,482450,242365,240085,665
21,서초구,401084,191633,209451,1494
22,강남구,522874,250063,272811,3029
23,송파구,656576,316247,340329,986
24,강동구,457466,223942,233524,137
