,식당명,별점,구,주소,음식종류,가격대,리뷰날짜,리뷰평가,리뷰수,맛있다수,괜찮다수,별로다수
0,이코이,4.4,도봉구, 서울특별시 도봉구 도봉로112길 20,일식, 만원-2만원,2022-05-29,맛있다,37,32.0,4.0,1.0
3,코노하카레,4.2,도봉구, 서울특별시 도봉구 우이천로20길 7 103동상가 1F,일식, 만원-2만원,2022-02-07,맛있다,38,32.0,6.0,0.0
6,하이쿠,4.1,도봉구, 서울특별시 도봉구 도봉로114길 40 1F,일식, 만원-2만원,2022-04-13,별로,37,28.0,6.0,3.0
7,마쯔무라돈까스,4.1,도봉구, 서울특별시 도봉구 노해로63길 84 B1,일식, 만원 미만,2022-07-12,맛있다,86,73.0,11.0,2.0
8,수정궁,4.1,도봉구, 서울특별시 도봉구 방학로 173,중식, 만원 미만,2022-03-30,맛있다,24,16.0,5.0,3.0
11,쌍문동판다쓰,4.0,도봉구, 서울특별시 도봉구 우이천로24길 49 다온쉐르빌,중식, 만원 미만,2022-03-05,괜찮다,33,25.0,6.0,2.0
201,노원목고기집,4.3,노원구, 서울특별시 노원구 상계로 96,한식, 만원-2만원,2022-01-24,맛있다,32,31.0,1.0,0.0
208,썸머타이,4.0,노원구, 서울특별시 노원구 노해로75길 14-25,다국적음식, 만원-2만원,2022-07-24,맛있다,36,26.0,8.0,2.0
209,쪼매매운떡볶이,4.0,노원구, 서울특별시 노원구 공릉로 208,한식, 만원 미만,2022-06-06,맛있다,74,58.0,16.0,0.0
210,털보고된이,4.0,노원구, 서울특별시 노원구 노해로81길 22-22,한식, 만원 미만,2022-05-16,맛있다,43,35.0,6.0,2.0
211,버거투버거,4.0,노원구, 서울특별시 노원구 공릉로62가길 50,양식, 만원 미만,2022-01-25,맛있다,56,47.0,7.0,2.0
212,생선까시,4.0,노원구, 서울특별시 노원구 동일로191가길 22,기타, 만원-2만원,2022-01-05,맛있다,22,18.0,3.0,1.0
213,무명칼국수,4.0,노원구, 서울특별시 노원구 석계로7길 4,한식, 만원 미만,2022-05-06,맛있다,31,24.0,7.0,0.0
400,양다리걸쳤네,4.3,강북구, 서울특별시 강북구 노해로8길 16 우암센스뷰 101호,중식, 만원-2만원,2022-06-02,별로,20,16.0,3.0,1.0
403,엘림들깨수제비칼국수,4.2,강북구, 서울특별시 강북구 삼각산로 67,한식, 만원 미만,2022-06-11,맛있다,64,57.0,6.0,1.0
405,장수마늘보쌈,4.2,강북구, 서울특별시 강북구 덕릉로 192,한식, 만원-2만원,2022-06-11,맛있다,22,20.0,2.0,0.0
406,동네함박,4.1,강북구, 서울특별시 강북구 도봉로15길 11 2F,양식, 만원 미만,2021-10-25,괜찮다,20,15.0,4.0,1.0
409,미즐카페엠,4.0,강북구, 서울특별시 강북구 4.19로 107,카페/디저트, 만원 미만,2022-05-26,맛있다,25,19.0,5.0,1.0
600,스시이마,4.3,은평구, 서울특별시 은평구 역말로 49-1 1F,일식, 3만원-4만원,2021-06-09,맛있다,28,22.0,5.0,1.0
601,스시온도,4.3,은평구, 서울특별시 은평구 불광천길 536 에필리움 1F,일식, 4만원 이상,2022-06-30,맛있다,21,19.0,1.0,1.0
614,스시쇼부,4.1,은평구, 서울특별시 은평구 은평로13길 11-9 2F,일식, 2만원-3만원,1 일 전,별로,45,34.0,7.0,4.0
615,니하오,4.1,은평구, 서울특별시 은평구 증산로 469,중식, 만원-2만원,2021-10-28,맛있다,20,16.0,3.0,1.0
800,만가타,4.8,종로구, 서울특별시 종로구 삼청로2길 40-5,다국적음식, 4만원 이상,2022-07-31,맛있다,50,41.0,7.0,2.0
801,호반,4.8,종로구, 서울특별시 종로구 삼일대로26길 20,한식, 2만원-3만원,2022-07-23,맛있다,72,67.0,3.0,2.0
802,부촌육회,4.7,종로구, 서울특별시 종로구 종로 200-12,한식, 만원-2만원,3 일 전,맛있다,186,160.0,21.0,5.0
803,오레노라멘,4.7,종로구, 서울특별시 종로구 율곡로 49-4 1F,일식, 만원 미만,6 일 전,맛있다,91,78.0,10.0,3.0
804,BAR CHAM,4.7,종로구, 서울특별시 종로구 자하문로7길 34,주점, 2만원-3만원,2022-08-03,맛있다,36,35.0,1.0,0.0
806,팔마,4.6,종로구, 서울특별시 종로구 자하문로5길 39 1F,양식, 만원 미만,2022-07-21,맛있다,41,34.0,5.0,2.0
807,유유안,4.6,종로구, 서울특별시 종로구 새문안로 97 포시즌스호텔 서울 11F,중식, 4만원 이상,2022-07-20,맛있다,51,41.0,4.0,6.0
808,파네트크루아상팩토리,4.6,종로구, 서울특별시 종로구 사직로8길 24 경희궁의아침 1F,카페/디저트, 만원 미만,2022-07-02,맛있다,119,106.0,12.0,1.0
809,폴앤폴리나,4.6,종로구, 서울특별시 종로구 사직로8길 42 1F,카페/디저트, 만원 미만,1 일 전,맛있다,162,149.0,12.0,1.0
810,물랑,4.6,종로구, 서울특별시 종로구 자하문로16길 8 1F,다국적음식, 4만원 이상,2022-05-26,맛있다,31,26.0,5.0,0.0
