,구,2017,2018,2019
0,종로구,268702,265017,260446
1,중구,386648,390530,392568
2,용산구,133260,141216,135240
3,성동구,167308,174819,178243
4,광진구,125170,127879,126305
5,동대문구,142842,140748,138400
6,중랑구,102758,103016,103345
7,성북구,108991,108201,111005
8,강북구,71752,72418,73904
9,도봉구,70503,74314,72939
10,노원구,117859,118713,116684
11,은평구,88818,90049,93631
12,서대문구,111117,109490,113819
13,마포구,247999,255152,247276
14,양천구,119943,123311,121582
15,강서구,234394,248204,257494
16,구로구,213468,218070,225668
17,금천구,228000,234012,242686
18,영등포구,362800,367557,373478
19,동작구,110422,112564,106159
20,관악구,115390,113944,115329
21,서초구,436763,438733,438985
22,강남구,679047,694136,698840
23,송파구,329447,342853,341201
24,강동구,146512,145990,141770
